GA Attribution Campaign,GA Attribution Channel,GA Attribution Medium,Orders Order ID,Orders User ID,Orders Placed Date,Order Products Product ID,Order Skus ID,Contacts Contact ID,Users Is User Account Created (Yes / No),Orders Net Revenue,Contacts Email Domain,Order Products Product Name,Order Products Merchandising Category,Order Products First Tier Derpartment Name,Order Products Primary Department Name,Order Products Show on Product Page Tag Names,Order Products Show on Search Page Tag Names,Order Products Is Product Active (Yes / No),Order Skus Packaging Type,GA Attribution Source,Orders Shipping Fee Amount,Orders Unique Merchandising Category Name,Orders Billed to City,Orders Billed to State Prov,Orders Billed to Country Code,Order Skus List Price,Order Skus After Discount Price,Order Skus Before Discount Price,Contacts First Subscribed Date,Contacts First Subscribed Time,Orders Placed Time,Orders Is Placed Day Holiday (Yes / No),Order Skus Discount,Orders Canceled Date,Order Skus Weight,KW Skus Data Net Weight,Order Skus Packaging Type Code,Gifting Is Gift (Yes / No),Orders Discount Fee Amount,KW Skus Data Meltable (Yes / No),Orders Total New Order Revenue,Order Skus Count of Pieces,Order Skus Gross Profit,Accrued Gross Margin,Accrued Product Cost,Shipments Total Shipping Revenue,Order Skus Total Raw Material Cost,Order Skus Total Packaging Cost,Shipments Total Heat Resistant Packaging Cost,Order Skus Total Filling Labor Cost,Accrued Direct Labor Fulfillment Cost,Accrued Direct Labor Support Cost,Accrued Direct Labor Others Cost,Accrued Indirect Labor Cost,Accrued Freight Out Cost,Accrued Credit Card Processing Fee,Accrued Others Cost,Shipments Total Actual Carrier Cost,Orders Total Shipping Carrier Fees
,,,12867288,2230660,2022-04-13,5093,5093-01,3773529,Yes,76.93,gmail.com,Dark Chocolate Covered Blueberries,Dried Fruit,Dried Fruit,Blueberries,"dark chocolate,kosher,kosher pareve,chocolate,chocolate covered","chocolates & sweets,dried fruit,dark chocolate,kosher,kosher pareve,chocolate,chocolate covered",Yes,Small 1 Pound Bag,,0,"Dried Fruit,Nuts",,,,12.99,12.99,12.99,2020-10-20,2020-10-20 23:41:30,2022-04-13 11:16:00,No,0,,1,1,S,No,0,Yes,0,2,25.98,75.572068,0,0,0,0.12,0,1.237932,0,0,0,0,0,0,0,0,8.73
(not set),,(none),12866519,,2022-04-13,1229,1229-24,4161182,No,52.95,gmail.com,Trail Mix Variety Pack,Snacks,Snacks,Single-Serve,"salty,salted,sweet","salty,sampler,salted,sweet,assorted (flavor),snacks,nuts",Yes,White 5 Pound Bag,(direct),6.99,"Dried Fruit,Snacks,Nuts",New York,NY,US,16.99,16.99,16.99,2021-01-02,2021-01-02 10:51:04,2022-04-13 08:44:41,No,0,,2.25,2.25,W,No,0,No,0,1,16.99,51.622068,0,6.99,0,0.09,0,1.237932,0,0,0,0,0,0,0,0,5.08
(not set),,(none),12865643,1882181,2022-04-13,7319,7319-01,3730585,Yes,83.91,gmail.com,Taro Root Powder Mix,Coffees & Teas,Chocolates & Sweets,Bubble Tea,"bubble tea,asian","bubble tea,asian",Yes,Small Black Bag,(direct),0,"Nuts,Coffees & Teas",Powell,TN,US,7.99,7.99,7.99,2020-10-11,2020-10-11 23:18:15,2022-04-13 00:38:03,No,0,,0.5,0.5,SB,No,0,No,0,1,5.32,82.622068,0,0,2.68,0.05,0,1.237932,0,0,0,0,0,0,0,0,7.06
Automated-Abandoned-Cart_2_Returning_b,,email,12867417,2128309,2022-04-13,5324,5324-01,4535205,Yes,68.9,verizon.net,Bear Crunch Popcorn,Snacks,Chocolates & Sweets,Popcorn,chocolate,chocolate,Yes,Large Black Bag,Iterable,0,"Chocolates & Sweets,Nuts,Snacks",,,,8.99,8.99,8.99,2021-02-25,2021-02-25 15:25:02,2022-04-13 11:30:24,No,0,,1,1,LB,No,0,Yes,0,1,8.99,68.141034,0,0,0,0.14,0,0.618966,0,0,0,0,0,0,0,0,5.08
2022-04-11-Mother's-Day-Gifts-RU-1_ALL_1,,email,12866523,1772146,2022-04-13,8413,8413-01,3325100,Yes,69.94,aol.com,Mixed Olives,Snacks,Snacks,Olives,"salty,keto","salty,paleo,snacks,vegan,whole 30,keto",Yes,Small 1 Pound Bag,Iterable,0,"Chocolates & Sweets,Nuts,Snacks",West Springfield,MA,US,4.99,4.99,4.99,2020-07-23,2020-07-23 18:35:32,2022-04-13 08:45:15,No,0,,0.55,0.55,S,No,0,No,0,1,4.99,69.288034,0,0,0,0.033,0,0.618966,0,0,0,0,0,0,0,0,6.11
(not set),,(none),12866702,2259897,2022-04-13,5302,5302-30,4995143,Yes,185.5,foodstuffs.com,Red Swedish Fish,Chocolates & Sweets,Chocolates & Sweets,Gummy Fish,"fruity,fruit punch (flavor),red candy,old time candy,gummy candy,sweet","fruity,fruit punch (flavor),old time candy,chocolates & sweets,sweet",Yes,Durey Libby box,(direct),0,Chocolates & Sweets,Evanston,IL,US,119.7,119.7,119.7,,,2022-04-13 09:34:42,No,0,,30,30,DL,No,0,No,0,1,119.7,181.805169,0,0,0,0.6,0,3.094831,0,0,0,0,0,0,0,0,18.44
(not set),,(none),12865654,2384107,2022-04-13,1007,1007-01,5399091,Yes,44.94,gmail.com,Dried Apricots,Dried Fruit,Dried Fruit,Apricots,"gluten-free,no sugar added,certified gluten-free,kosher,kosher pareve","vegan,gluten-free,no sugar added,dried fruit,certified gluten-free,best sellers,kosher,snacks,kosher pareve",Yes,Small 1 Pound Bag,(direct),6.99,"Dried Fruit,Nuts,Chocolates & Sweets",New York,NY,US,8.99,8.99,8.99,2021-09-29,2021-09-29 01:21:30,2022-04-13 00:42:58,No,0,,1,1,S,No,0,No,0,1,6.34,44.261033999999995,0,6.99,2.65,0.06,0,0.618966,0,0,0,0,0,0,0,0,5.08
Automated-Abandoned-Cart_3_Returning_b,,email,12867032,2460032,2022-04-13,2441,2441-01,5815493,Yes,61.94,hotmail.com,Peanut Butter & Jelly Bitty Bars,Snacks,Snacks,Energy Squares and Bars,"kosher pareve,sweet,granola,kosher,gluten-free","kosher pareve,sweet,nuts,granola,kosher,gluten-free,snacks",Yes,Medium 1 Pound Bag,Iterable,0,"Snacks,Chocolates & Sweets",Wall Township,NJ,US,9.99,9.99,9.99,2022-01-12,2022-01-12 18:08:13,2022-04-13 10:38:02,No,0,,0.65,0.65,M,No,0,No,0,1,9.99,61.269034,0,0,0,0.052,0,0.618966,0,0,0,0,0,0,0,0,5.08
SEM Branded,bing,cpc,12867324,2268346,2022-04-13,8214,8214-01,4664986,Yes,96.9,yahoo.com,Mix of Champions,Snacks,Snacks,Trail Mix,"salted,hot & spicy,spicy,salty","salted,hot & spicy,spicy,nuts,salty,snacks,out of shell",Yes,Medium 1 Pound Bag,bing,0,"Nuts,Chocolates & Sweets,Snacks",,,,9.99,9.99,9.99,2021-03-22,2021-03-22 10:12:20,2022-04-13 11:19:57,No,0,,1,1,M,No,0,No,0,1,9.99,96.201034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,6.33
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12867543,2237184,2022-04-13,4003,4003-01,4918260,Yes,64.95,gmail.com,Roasted Cashews (Salted),Nuts,Nuts,Cashews,"salted,certified gluten-free,gluten-free,kosher,sugar-free,roasted,kosher pareve","whole 30,salted,nuts and seeds,out of shell,certified gluten-free,gluten-free,decadent,nuts,paleo,kosher,snacks,best sellers,sugar-free,roasted,vegan,oil roasted,kosher pareve",Yes,Medium 1 Pound Bag,Iterable,0,Nuts,Lancaster,OH,US,13.99,13.99,13.99,2021-05-13,2021-05-13 11:02:32,2022-04-13 11:44:41,No,0,,1,1,M,No,0,No,0,1,13.99,64.560517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,7.17
2022-04-13-April-Monthly-Gifting_DTC_1,,email,12867120,1937756,2022-04-13,3383,3383-01,3627254,Yes,119.91,msn.com,Lemon Poppy Malt Balls,Chocolates & Sweets,Chocolates & Sweets,Malted Milk Balls,"kosher,sweet,chocolate,pastel,kosher dairy,lemon (flavor),malt","kosher,sweet,chocolate,chocolates & sweets,new products,kosher dairy,lemon (flavor),malt",Yes,Medium 1 Pound Bag,Iterable,0,"Chocolates & Sweets,Snacks,Nuts",Tucumcari,NM,US,10.99,0,10.99,2020-09-25,2020-09-25 23:16:27,2022-04-13 10:51:04,No,-10.99,,1,1,M,No,0,Yes,0,1,0,119.83,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,14.24
SEM Branded,google,cpc,12866968,1977844,2022-04-13,1369,1369-01,3782746,Yes,38.95,gmail.com,Organic Sprouted Quinoa,Cooking,Cooking,Quinoa,"superfoods,gluten-free,seeds,kosher,raw,grains,organic,kosher pareve,sprouted","superfoods,gluten-free,seeds,kosher,natural,cooking,sprouting,raw,grains,organic,kosher pareve,sprouted",Yes,Small 1 Pound Bag,google,6.99,Cooking,Wyoming,MI,US,7.99,7.99,7.99,2020-10-23,2020-10-23 00:37:22,2022-04-13 10:29:17,No,0,,1,1,S,No,0,No,0,4,31.96,36.234135,0,6.99,0,0.24,0,2.475865,0,0,0,0,0,0,0,0,7.17
(not set),,(none),12867566,,2022-04-13,9576,9576-09,3120592,No,63.15,yahoo.com,Japanese Sencha Green Tea,Coffees & Teas,"Coffees, Teas, & Drinks",Green Teas & Matcha,loose tea,loose tea,Yes,Medium 1 Pound Bag,(direct),0,"Snacks,Seeds,Coffees & Teas",Santa Ana,CA,US,12.99,12.99,12.99,2021-02-23,2021-02-23 14:45:42,2022-04-13 11:47:28,No,0,,0.5,0.5,M,No,0,No,0,1,12.99,62.491034,0,0,0,0.04,0,0.618966,0,0,0,0,0,0,0,0,6.86
Automated-Abandoned-Cart_3_Returning_b,,email,12865755,2420436,2022-04-13,2012,2012-01,3953899,Yes,65.91,yahoo.com,Macadamia Nuts (In Shell),Nuts,Nuts,Macadamia Nuts,"in shell,certified gluten-free,salt-free,gluten-free","nuts and seeds,in shell,nuts,certified gluten-free,natural,sprouting,salt-free,gluten-free",Yes,Medium 1 Pound Bag,Iterable,0,"Nuts,Seeds",,,,15.99,15.99,15.99,2020-11-23,2020-11-23 20:53:15,2022-04-13 01:59:07,No,0,,1,1,M,No,0,No,0,1,15.99,65.520517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,9.96
"loyalty_ Web Conversion Buyers Last 90 Days - Oct 18, 2021",criteo,cpc,12865677,,2022-04-13,1088,1088-01,4747542,No,62.89,gmail.com,Banana Chips - Unsweetened,Dried Fruit,Dried Fruit,Bananas,"kosher,no sulphur dioxide,no sugar added,kosher pareve","kosher,no sulphur dioxide,no sugar added,dried fruit,kosher pareve,snacks",Yes,Large 1 Pound Bag,criteo,6.99,"Dried Fruit,Chocolates & Sweets,Snacks",Sebring,FL,US,4.99,4.99,4.99,2021-04-07,2021-04-07 12:43:23,2022-04-13 00:57:38,No,0,,1,1,L,No,0,No,0,3,11.700000000000001,61.601551,0,6.99,3.27,0.36,0,0.928449,0,0,0,0,0,0,0,0,12.65
RLSA SEM Branded,bing,cpc,12867270,1951995,2022-04-13,5008,5008-01,3965957,Yes,115.86,aol.com,Chocolate Bridge Mix,Chocolates & Sweets,Chocolates & Sweets,Mixed Chocolate,"chocolate,dry roasted,sweet,dark chocolate,nutty,milk chocolate","chocolate,dry roasted,sweet,dark chocolate,nuts,chocolates & sweets,best sellers,nutty,milk chocolate",Yes,Small 1 Pound Bag,bing,0,"Chocolates & Sweets,Snacks",Palm Bay,FL,US,8.99,8.99,8.99,2020-11-27,2020-11-27 17:17:13,2022-04-13 11:13:41,No,0,,1,1,S,No,0,Yes,0,3,26.97,113.82310199999999,0,0,0,0.18,0,1.856898,0,0,0,0,0,0,0,0,10.67
(not set),,referral,12865580,,2022-04-13,4017,4017-01,4607935,No,28.94,gmail.com,"Roasted Virginia Peanuts (Salted, No Shell)",Nuts,Nuts,Peanuts,"salted,virginia,roasted,certified gluten-free,kosher,gluten-free,kosher pareve","salted,virginia,roasted,best sellers,nuts and seeds,out of shell,certified gluten-free,kosher,nuts,oil roasted,gluten-free,kosher pareve",Yes,Medium 1 Pound Bag,nutsdotcom.typeform.com,6.99,"Chocolates & Sweets,Nuts",Las Vegas,NV,US,4.99,4.99,4.99,2021-03-10,2021-03-10 15:05:44,2022-04-13 00:12:33,No,0,,1,1,M,No,-5,No,0,1,3.38,28.550517000000003,0,6.99,1.61,0.08,0,0.309483,0,0,0,0,0,0,0,0,9.91
klarna-merchantboost,,referral,12865735,2505137,2022-04-13,8454,8454-01,5942420,Yes,312.73,gmail.com,Milk Chocolate Sea Salt Caramels,Chocolates & Sweets,Chocolates & Sweets,Caramel,"milk chocolate,sweet,brown candy,chocolate","chocolates & sweets,milk chocolate,sweet,chocolate",Yes,Small Black Bag,klarna,0,"Dried Fruit,Nuts,Chocolates & Sweets,Snacks",Hopedale,OH,US,9.99,9.99,9.99,2022-03-10,2022-03-10 19:58:04,2022-04-13 01:42:46,No,0,,0.5,0.5,SB,No,0,Yes,0,2,19.98,311.392068,0,0,0,0.1,0,1.237932,0,0,0,0,0,0,0,0,30.76
2022-04-12-Easter-Hosting-RU_DTC_1,,email,12867398,1884155,2022-04-13,4034,4034-01,3502985,Yes,214.84,aol.com,Roasted Walnuts (Unsalted),Nuts,Nuts,Walnuts,"certified gluten-free,kosher,kosher pareve,roasted,keto,salt-free,gluten-free","certified gluten-free,nuts,unsalted,kosher,out of shell,brewing,kosher pareve,vegan,roasted,keto,paleo,oil roasted,salt-free,gluten-free,whole 30,nuts and seeds",Yes,Medium 1 Pound Bag,Iterable,0,"Nuts,Chocolates & Sweets,Dried Fruit",Girard,PA,US,12.99,12.99,12.99,2020-09-04,2020-09-04 09:25:03,2022-04-13 11:28:42,No,0,,1,1,M,No,0,No,0,1,12.99,214.450517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,11.62
2022-04-12-Easter-Hosting-RU_DTC_1,,email,12865700,2474109,2022-04-13,3383,3383-01,5866254,Yes,61.44,1791.com,Lemon Poppy Malt Balls,Chocolates & Sweets,Chocolates & Sweets,Malted Milk Balls,"kosher,sweet,chocolate,pastel,kosher dairy,lemon (flavor),malt","kosher,sweet,chocolate,chocolates & sweets,new products,kosher dairy,lemon (flavor),malt",Yes,Medium 1 Pound Bag,Iterable,0,Chocolates & Sweets,Vero Beach,FL,US,10.99,0,10.99,2022-02-03,2022-02-03 12:27:32,2022-04-13 01:17:23,No,-10.99,,1,1,M,No,0,Yes,0,1,0,61.36,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,17.09
,,,12867679,,2022-04-13,3014,3014-01,2485903,No,60.95,hotmail.com,"Georgia Pecans (Raw, No Shell)",Nuts,Nuts,Pecans,"certified gluten-free,raw,gluten-free,keto,kosher pareve","baking,vegan,whole 30,paleo,nuts and seeds,nuts,best sellers,certified gluten-free,raw,gluten-free,keto,kosher pareve",Yes,Medium 1 Pound Bag,,0,"Nuts,Snacks,Chocolates & Sweets,Dried Fruit",Whitsett,NC,US,14.99,14.99,14.99,2018-11-20,2018-11-20 11:08:34,2022-04-13 11:59:03,No,0,,1,1,M,No,0,No,0,1,14.99,60.560517000000004,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,7.7
SEM Branded,bing,cpc,12866592,2423488,2022-04-13,1181,1181-01,5490006,Yes,65.94,gmail.com,Raisin Medley,Dried Fruit,Dried Fruit,Raisins,"kosher,no sugar added,kosher pareve","kosher,no sugar added,kosher pareve,cooking,baking,dried fruit",Yes,Medium 1 Pound Bag,bing,0,"Dried Fruit,Snacks",,,,6.99,6.99,6.99,2021-10-21,2021-10-21 13:42:26,2022-04-13 09:07:33,No,0,,1,1,M,No,0,No,0,1,6.99,65.241034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,6.15
(not set),,(none),12867182,782479,2022-04-13,7301,7301-01,493966,Yes,66.93,msn.com,Dijon Swiss Cheese Sticks,Snacks,Snacks,Cheese Sticks,"salty,cheese (flavor)","snacks,salty,savory,cheese (flavor)",Yes,Large Black Bag,(direct),0,"Snacks,Nuts",,,,5.99,5.99,5.99,2019-02-18,2019-02-18 00:55:11,2022-04-13 11:00:34,No,0,,0.25,0.3,LB,No,0,No,0,2,11.98,65.608068,0,0,0,0.084,0,1.237932,0,0,0,0,0,0,0,0,13.65
T_PROSPECTING_TESTING_US,facebook,cpc,12866260,,2022-04-13,5333,5333-01,5881161,No,26.97,gmail.com,Heath� Candy Bars,Baking,Chocolates & Sweets,Classics,"old time candy,chocolate,milk chocolate","old time candy,chocolate,milk chocolate",Yes,Medium 1 Pound Bag,facebook,6.99,"Chocolates & Sweets,Baking",Denver,CO,US,8.99,8.99,8.99,2022-02-09,2022-02-09 00:26:59,2022-04-13 06:02:57,No,0,,1,1,M,No,0,Yes,0,1,8.99,26.271034,0,6.99,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,5.99
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12867168,2152530,2022-04-13,7015,7015-01,4636443,Yes,79.92,msn.com,"Roasted Sunflower Seeds (Salted, No Shell)",Seeds,Snacks,Sunflower Seeds,"salted,kosher pareve,kosher,seeds,sunflower seeds,roasted,gluten-free,certified gluten-free","nuts and seeds,salted,kosher pareve,best sellers,kosher,seeds,roasted,gluten-free,out of shell,certified gluten-free,oil roasted,snacks,nuts",Yes,Medium 1 Pound Bag,Iterable,0,"Snacks,Nuts,Seeds,Cooking",,,,4.99,4.99,4.99,2021-03-16,2021-03-16 14:35:11,2022-04-13 10:58:40,No,0,,1,1,M,No,0,No,0,1,4.99,79.530517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,0
RLSA SEM Branded,bing,cpc,12867270,1951995,2022-04-13,5969,5969-01,3965957,Yes,115.86,aol.com,Rainbow Circus Peanuts,Chocolates & Sweets,Chocolates & Sweets,Circus Peanuts,"rainbow candy,sweet,carnival & circus","chocolates & sweets,sweet,carnival & circus",Yes,Large 1 Pound Bag,bing,0,"Chocolates & Sweets,Snacks",Palm Bay,FL,US,6.99,6.99,6.99,2020-11-27,2020-11-27 17:17:13,2022-04-13 11:13:41,No,0,,1,1,L,No,0,No,0,1,6.99,115.121034,0,0,0,0.12,0,0.618966,0,0,0,0,0,0,0,0,10.67
(not set),,(none),12865654,2384107,2022-04-13,5488,5488-01,5399091,Yes,44.94,gmail.com,Gumdrops,Chocolates & Sweets,Chocolates & Sweets,Jelly Candy,"sweet,old time candy,rainbow candy,fruity","sweet,old time candy,assorted (flavor),chocolates & sweets,fruity",Yes,Small 1 Pound Bag,(direct),6.99,"Dried Fruit,Nuts,Chocolates & Sweets",New York,NY,US,4.99,4.99,4.99,2021-09-29,2021-09-29 01:21:30,2022-04-13 00:42:58,No,0,,1,1,S,No,0,No,0,1,4,44.261033999999995,0,6.99,0.99,0.06,0,0.618966,0,0,0,0,0,0,0,0,5.08
BPA - All Products (Non-Converting Users),bing,cpc,12866499,,2022-04-13,1112,1112-01,6008983,No,78.92,taylortec.com,Goji Berries,Dried Fruit,Dried Fruit,Goji Berries,"yogurt,cereal,granola,gluten-free,certified gluten-free,no sulphur dioxide,no sugar added","yogurt,cereal,paleo,granola,dried fruit,best sellers,brewing,gluten-free,certified gluten-free,vegan,no sulphur dioxide,premium,natural,snacks,no sugar added",Yes,Medium 1 Pound Bag,bing,0,"Dried Fruit,Nuts,Snacks,Coffees & Teas",,,,13.99,13.99,13.99,2022-04-13,2022-04-13 08:32:21,2022-04-13 08:38:50,No,0,,1,1,M,No,0,No,78.92,1,13.99,78.221034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,7.02
(not set),,(none),12866548,2468349,2022-04-13,5183,5183-01,5847253,Yes,126.89,gmail.com,Chocolate-Covered Banana Chips,Dried Fruit,Dried Fruit,Bananas,"chocolate,chocolate covered,milk chocolate","chocolate,chocolates & sweets,chocolate covered,milk chocolate,dried fruit",Yes,Medium 1 Pound Bag,(direct),0,"Dried Fruit,Nuts,Coffees & Teas,Powders",Farmington,MN,US,6.99,6.99,6.99,2022-01-25,2022-01-25 15:40:29,2022-04-13 08:55:28,No,0,,1,1,M,No,0,Yes,0,1,6.99,126.191034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,12.65
(not set),,(none),12866293,1845688,2022-04-13,5026,5026-01,3598097,Yes,61.92,yahoo.com,Jordan Almonds (Assorted),Nuts,Jordan Almonds,Jordan Almonds,"kosher pareve,dragees,jordan almonds,pastel,kosher,candied,rainbow candy","nuts,kosher pareve,dragees,jordan almonds,chocolates & sweets,kosher,candied,classic wedding",Yes,Small 1 Pound Bag,(direct),0,"Dried Fruit,Nuts,Chocolates & Sweets",Brevard,NC,US,8.99,8.99,8.99,2020-09-21,2020-09-21 15:05:41,2022-04-13 06:40:18,No,0,,1,1,S,No,0,No,0,1,8.99,61.550517,0,0,0,0.06,0,0.309483,0,0,0,0,0,0,0,0,10.18
SEM NB EMKW - July 2021,google,cpc,12865769,,2022-04-13,1502,1502-01,6008865,No,172.88,hotmail.com,Organic Dried Mango,Dried Fruit,Dried Fruit,Mango,"no sulphur dioxide,kosher pareve,organic,kosher,certified gluten-free,no sugar added,gluten-free","natural,no sulphur dioxide,kosher pareve,whole 30,dried fruit,snacks,vegan,organic,kosher,paleo,certified gluten-free,no sugar added,best sellers,gluten-free",Yes,Large 1 Pound Bag,google,0,"Dried Fruit,Nuts",,,,14.99,14.99,14.99,,,2022-04-13 02:05:54,No,0,,1,1,L,No,0,No,172.88,1,14.99,171.522068,0,0,0,0.12,0,1.237932,0,0,0,0,0,0,0,0,7.28
2022-04-13-April-Monthly-Gifting_DTC_1,,email,12866963,2002916,2022-04-13,3105,3105-01,4105732,Yes,73.96,gmail.com,"Organic Pecans (Raw, No Shell)",Nuts,Nuts,Pecans,"keto,kosher,salt-free,organic,kosher pareve,gluten-free,raw,certified gluten-free","keto,natural,kosher,salt-free,paleo,best sellers,organic,kosher pareve,out of shell,nuts,nuts and seeds,sprouting,baking,gluten-free,raw,certified gluten-free,whole 30",Yes,Medium 1 Pound Bag,Iterable,0,Nuts,Buda,TX,US,21.99,21.99,21.99,2021-01-02,2021-01-02 11:49:32,2022-04-13 10:28:28,No,0,,1,1,M,No,0,No,0,1,21.99,73.570517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,5.75
,,,12866158,1707767,2022-04-13,4062,4062-01,3142498,Yes,35.47,gmail.com,Supreme Roasted Mixed Nuts (Unsalted),Nuts,Nuts,Mixed Nuts,"kosher pareve,kosher,roasted,salt-free","kosher pareve,paleo,vegan,whole 30,premium,kosher,best sellers,oil roasted,roasted,cocktail hour snacks,nuts,out of shell,unsalted,salt-free,snacks,nuts and seeds",Yes,Medium 1 Pound Bag,,6.99,Nuts,Minneapolis,MN,US,14.99,14.24,14.99,2020-06-01,2020-06-01 16:59:05,2022-04-13 05:05:05,No,-0.75,,1,1,M,No,0,No,0,2,28.48,34.691034,0,6.99,0,0.16,0,0.618966,0,0,0,0,0,0,0,0,8.71
(not set),,(none),12865757,2475324,2022-04-13,5456,5456-01,5485733,Yes,31.94,att.net,Wild Cherry Gummi Bears,Chocolates & Sweets,Chocolates & Sweets,Gummy Bears,"red candy,cherry (flavor),gummy candy,sweet,fruity","cherry (flavor),sweet,fruity,chocolates & sweets",Yes,Small 1 Pound Bag,(direct),6.99,Chocolates & Sweets,Van Nuys,CA,US,4.99,4.99,4.99,2021-10-19,2021-10-19 23:26:33,2022-04-13 02:00:03,No,0,,1,1,S,No,0,Yes,0,5,24.95,28.545169,0,6.99,0,0.3,0,3.094831,0,0,0,0,0,0,0,0,6.42
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12867531,1906471,2022-04-13,8206,8206-01,3799691,Yes,63.94,yahoo.com,Organic Cranberry Apricot Energy Squares,Snacks,Snacks,Energy Squares and Bars,"organic,energy squares,salt-free","snacks,organic,salt-free",Yes,Small Black Bag,Iterable,0,"Nuts,Snacks",Wakefield,RI,US,7.99,7.99,7.99,2020-10-29,2020-10-29 11:38:24,2022-04-13 11:43:40,No,0,,0.5,0.5,SB,No,0,No,0,1,7.99,63.271034,0,0,0,0.05,0,0.618966,0,0,0,0,0,0,0,0,8.73
(not set),,(none),12865552,1482093,2022-04-13,8472,8472-01,2629821,Yes,29.96,aol.com,"Roasted Sunflower Seeds (In Shell, 50% Less Salt)",Seeds,Snacks,Sunflower Seeds,"seeds,kosher pareve,in shell,sunflower seeds,roasted,toasted,gluten-free,certified gluten-free,kosher,dry roasted","seeds,50% less salt,kosher pareve,in shell,roasted,toasted,gluten-free,certified gluten-free,kosher,dry roasted,nuts and seeds",Yes,Large Black Bag,(direct),6.99,"Nuts,Seeds",Albuquerque,NM,US,4.99,4.99,4.99,2019-04-15,2019-04-15 09:48:09,2022-04-13 00:02:26,No,0,,1,1,LB,Yes,0,No,0,1,4.09,29.510517,0,6.99,0.9,0.14,0,0.309483,0,0,0,0,0,0,0,0,9.82
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12867307,,2022-04-13,5377,5377-01,3289117,No,28.97,aol.com,Gourmet Fruit Slices,Chocolates & Sweets,Chocolates & Sweets,Gourmet Fruit Slices,"old time candy,sweet,fruity,rainbow candy,gummy candy","assorted (flavor),old time candy,sweet,fruity,chocolates & sweets",Yes,Medium 1 Pound Bag,Iterable,6.99,Chocolates & Sweets,,,,10.99,10.99,10.99,2020-07-15,2020-07-15 13:23:24,2022-04-13 11:18:14,No,0,,1,1,M,No,0,Yes,28.97,1,10.99,28.271034,0,6.99,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,5.08
,,,12867179,,2022-04-13,8314,8314-01,5723328,No,65.03,stjosephfc.org,Dark Chocolate Turbinado Sea Salt Almonds,Nuts,Nuts,Almonds,"chocolate covered,chocolate,salted,dark chocolate,dipped & dusted","best sellers,nuts,chocolate covered,decadent,birthday,chocolate,chocolates & sweets,salted,dark chocolate,snacks,nuts and seeds,dipped & dusted",Yes,Medium 1 Pound Bag,,0,"Chocolates & Sweets,Snacks,Nuts",,,,12.99,12.99,12.99,2021-12-16,2021-12-16 17:31:29,2022-04-13 10:59:52,No,0,,1,1,M,No,-2.9,Yes,0,1,12.99,64.640517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,7.65
,,,12866331,1359986,2022-04-13,7231,7231-05,2428941,Yes,127.95,foxtrotco.com,Bee Pollen Granules,Powders,Cooking,Bee Pollen,"powders,immunity boosting","natural,powders,immunity boosting",Yes,White 5 Pound Bag,,0,"Powders,Coffees & Teas",Chicago,IL,US,64.95,63,63,2018-09-13,2018-09-13 08:40:15,2022-04-13 07:22:23,No,0,,5,5,W,No,0,No,0,1,63,126.512068,0,0,0,0.2,0,1.237932,0,0,0,0,0,0,0,0,5.29
,,,12865891,1875416,2022-04-13,1050,1050-01,3706522,Yes,18.38,gmail.com,Dried Pears,Dried Fruit,Dried Fruit,Pears,"certified gluten-free,no sugar added,gluten-free,kosher pareve,kosher","dried fruit,certified gluten-free,no sugar added,gluten-free,kosher pareve,kosher,snacks",Yes,Medium 1 Pound Bag,,6.99,Dried Fruit,Summersville,WV,US,11.99,11.39,11.99,2020-10-07,2020-10-07 15:05:17,2022-04-13 05:00:54,No,-0.6,,1,1,M,No,0,No,0,1,11.39,17.681034,0,6.99,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,7.59
